detail,error_severity,event_message,hint,id,identifier,timestamp
null,LOG,connection received: host=2a05:d018:1e14:200:ef5a:781:48fc:ccf4 port=33414,null,08379cb3-af13-4853-aad0-08828d9a6e91,dtnotuyagygexmkyqtgb,1762997075819000
null,LOG,connection received: host=2a05:d018:1e14:201:22ef:12f3:feff:b365 port=53262,null,19bcd53a-15ac-4d54-b548-7f60b4d09ec5,dtnotuyagygexmkyqtgb,1762997075815000
null,LOG,connection received: host=2a05:d018:1e14:201:ef76:2620:6512:80a8 port=42986,null,8c8b85a4-278c-4e82-93c1-53d5af89caed,dtnotuyagygexmkyqtgb,1762997075787000
null,LOG,connection received: host=2a05:d018:1e14:200:1f1d:13d7:6cbc:9341 port=51638,null,7d27a98f-b411-466c-85b5-9378fbc3f277,dtnotuyagygexmkyqtgb,1762997075783000
null,LOG,connection received: host=2a05:d018:1e14:200:1f1d:13d7:6cbc:9341 port=51624,null,0ed80cfe-d740-4723-8861-2fdd02ec4d12,dtnotuyagygexmkyqtgb,1762997075782000
null,LOG,connection received: host=2a05:d018:1e14:201:e5b2:798f:eaed:a55 port=55022,null,ec074ad8-336f-4acf-bdb5-49e076d5c324,dtnotuyagygexmkyqtgb,1762997075780000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,8bbd32d5-6c51-4693-8c26-375927a1d186,dtnotuyagygexmkyqtgb,1762997073148000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=undefined SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,90aaffcb-a91a-478a-b2b7-6789ab154123,dtnotuyagygexmkyqtgb,1762997073148000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=undefined SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,b59b25d1-b7ef-41ef-b8f2-a7ca02ecd01c,dtnotuyagygexmkyqtgb,1762997073143000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,53ec9259-21cb-4a9a-b570-b6692e8dd972,dtnotuyagygexmkyqtgb,1762997073143000
